2022-05-31 14:07:11 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 install findutils:arm64 <none> 4.6.0+git+20170828-2
2022-05-31 14:07:11 status half-installed findutils:arm64 4.6.0+git+20170828-2
2022-05-31 14:07:11 status unpacked findutils:arm64 4.6.0+git+20170828-2
2022-05-31 14:07:11 status unpacked findutils:arm64 4.6.0+git+20170828-2
2022-05-31 14:07:11 install gcc-8-base:arm64 <none> 8-20180414-1ubuntu2
2022-05-31 14:07:11 status half-installed gcc-8-base:arm64 8-20180414-1ubuntu2
2022-05-31 14:07:11 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2022-05-31 14:07:11 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2022-05-31 14:07:11 install grep:arm64 <none> 3.1-2
2022-05-31 14:07:11 status half-installed grep:arm64 3.1-2
2022-05-31 14:07:11 status unpacked grep:arm64 3.1-2
2022-05-31 14:07:11 status unpacked grep:arm64 3.1-2
2022-05-31 14:07:11 install gzip:arm64 <none> 1.6-5ubuntu1
2022-05-31 14:07:11 status half-installed gzip:arm64 1.6-5ubuntu1
2022-05-31 14:07:11 status unpacked gzip:arm64 1.6-5ubuntu1
2022-05-31 14:07:11 status unpacked gzip:arm64 1.6-5ubuntu1
2022-05-31 14:07:11 install hostname:arm64 <none> 3.20
2022-05-31 14:07:11 status half-installed hostname:arm64 3.20
2022-05-31 14:07:11 status unpacked hostname:arm64 3.20
2022-05-31 14:07:11 status unpacked hostname:arm64 3.20
2022-05-31 14:07:11 install init-system-helpers:all <none> 1.51
2022-05-31 14:07:11 status half-installed init-system-helpers:all 1.51
2022-05-31 14:07:11 status unpacked init-system-helpers:all 1.51
2022-05-31 14:07:11 status unpacked init-system-helpers:all 1.51
2022-05-31 14:07:11 install libacl1:arm64 <none> 2.2.52-3build1
2022-05-31 14:07:11 status half-installed libacl1:arm64 2.2.52-3build1
2022-05-31 14:07:11 status unpacked libacl1:arm64 2.2.52-3build1
2022-05-31 14:07:11 status unpacked libacl1:arm64 2.2.52-3build1
2022-05-31 14:07:11 install libattr1:arm64 <none> 1:2.4.47-2build1
2022-05-31 14:07:11 status half-installed libattr1:arm64 1:2.4.47-2build1
2022-05-31 14:07:11 status unpacked libattr1:arm64 1:2.4.47-2build1
2022-05-31 14:07:11 status unpacked libattr1:arm64 1:2.4.47-2build1
2022-05-31 14:07:11 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2022-05-31 14:07:11 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2022-05-31 14:07:11 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2022-05-31 14:07:11 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2022-05-31 14:07:11 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2022-05-31 14:07:11 install libc-bin:arm64 <none> 2.27-3ubuntu1
2022-05-31 14:07:11 status half-installed libc-bin:arm64 2.27-3ubuntu1
2022-05-31 14:07:11 status unpacked libc-bin:arm64 2.27-3ubuntu1
2022-05-31 14:07:11 status unpacked libc-bin:arm64 2.27-3ubuntu1
2022-05-31 14:07:11 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2022-05-31 14:07:11 status half-configured libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:11 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:11 status half-installed libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:12 status half-installed libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:12 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:12 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:12 install libcap-ng0:arm64 <none> 0.7.7-3.1
2022-05-31 14:07:12 status half-installed libcap-ng0:arm64 0.7.7-3.1
2022-05-31 14:07:12 status unpacked libcap-ng0:arm64 0.7.7-3.1
2022-05-31 14:07:12 status unpacked libcap-ng0:arm64 0.7.7-3.1
2022-05-31 14:07:12 install libcom-err2:arm64 <none> 1.44.1-1
2022-05-31 14:07:12 status half-installed libcom-err2:arm64 1.44.1-1
2022-05-31 14:07:12 status unpacked libcom-err2:arm64 1.44.1-1
2022-05-31 14:07:12 status unpacked libcom-err2:arm64 1.44.1-1
2022-05-31 14:07:12 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2022-05-31 14:07:12 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2022-05-31 14:07:12 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2022-05-31 14:07:12 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2022-05-31 14:07:12 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2022-05-31 14:07:12 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2022-05-31 14:07:12 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2022-05-31 14:07:12 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2022-05-31 14:07:12 install libext2fs2:arm64 <none> 1.44.1-1
2022-05-31 14:07:12 status half-installed libext2fs2:arm64 1.44.1-1
2022-05-31 14:07:12 status unpacked libext2fs2:arm64 1.44.1-1
2022-05-31 14:07:12 status unpacked libext2fs2:arm64 1.44.1-1
2022-05-31 14:07:12 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:12 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:12 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:12 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:12 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2022-05-31 14:07:12 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2022-05-31 14:07:12 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2022-05-31 14:07:12 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2022-05-31 14:07:12 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2022-05-31 14:07:12 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2022-05-31 14:07:13 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2022-05-31 14:07:13 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2022-05-31 14:07:13 install libgpg-error0:arm64 <none> 1.27-6
2022-05-31 14:07:13 status half-installed libgpg-error0:arm64 1.27-6
2022-05-31 14:07:13 status unpacked libgpg-error0:arm64 1.27-6
2022-05-31 14:07:13 status unpacked libgpg-error0:arm64 1.27-6
2022-05-31 14:07:13 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2022-05-31 14:07:13 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2022-05-31 14:07:13 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2022-05-31 14:07:13 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2022-05-31 14:07:13 install liblzma5:arm64 <none> 5.2.2-1.3
2022-05-31 14:07:13 status half-installed liblzma5:arm64 5.2.2-1.3
2022-05-31 14:07:13 status unpacked liblzma5:arm64 5.2.2-1.3
2022-05-31 14:07:13 status unpacked liblzma5:arm64 5.2.2-1.3
2022-05-31 14:07:13 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:13 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:13 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:13 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:13 install libncurses5:arm64 <none> 6.1-1ubuntu1
2022-05-31 14:07:13 status half-installed libncurses5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 status unpacked libncurses5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 status unpacked libncurses5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2022-05-31 14:07:13 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2022-05-31 14:07:13 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
